mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_model__dropout_rate,param_model__n_blocks,param_model__n_neurons,param_model__reg_value,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
59.27571495374044,0.5219881558868212,0.25803112983703613,0.021568326863925985,32,0.1,1,64,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 1, 'model__n_neurons': 64, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-418.97467041015625,-358.7304382324219,-447.0295715332031,-408.24489339192706,36.83775528415535,10
63.82990296681722,5.137753332724811,0.3040351867675781,0.036597980344980074,32,0.1,1,64,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 1, 'model__n_neurons': 64, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-410.0189208984375,-455.0619201660156,-437.3324279785156,-434.13775634765625,18.526960370885167,16
67.96170544624329,1.4171556647589625,0.28011631965637207,0.031455246030794366,32,0.1,1,128,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 1, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-418.31756591796875,-350.7991027832031,-435.880859375,-401.6658426920573,36.67593435283971,6
64.88336165746053,2.839101220942105,0.31287217140197754,0.054112992478393004,32,0.1,1,128,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 1, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-405.8093566894531,-352.82666015625,-437.5097351074219,-398.7152506510417,34.93375207598537,4
80.78742861747742,2.247876589579503,0.284045934677124,0.01645089090849223,32,0.1,1,256,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 1, 'model__n_neurons': 256, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-408.43927001953125,-343.09063720703125,-482.1028747558594,-411.21092732747394,56.78533913055059,12
67.22381711006165,7.37078916357107,0.23798322677612305,0.005537948274470523,32,0.1,1,256,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 1, 'model__n_neurons': 256, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-414.8253479003906,-353.8939514160156,-455.41290283203125,-408.0440673828125,41.72140696129825,9
69.64640577634175,7.249292229310092,0.32039562861124676,0.010844036074629101,32,0.1,2,64,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 2, 'model__n_neurons': 64, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-409.50372314453125,-375.6793518066406,-520.53173828125,-435.23827107747394,61.87219992227039,17
63.746692975362144,5.095853206657326,0.404433806737264,0.09063434089900058,32,0.1,2,64,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 2, 'model__n_neurons': 64, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-425.37921142578125,-359.45416259765625,-482.0261535644531,-422.28650919596356,50.08756896811072,14
79.68330494562785,3.627350588640925,0.36041784286499023,0.03598665362432708,32,0.1,2,128,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 2, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-430.5125732421875,-382.85626220703125,-495.9189453125,-436.42926025390625,46.34686588934857,19
88.07326674461365,0.45005194403731374,0.37404553095499676,0.02549834744752987,32,0.1,2,128,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 2, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-443.34808349609375,-359.5378723144531,-543.6703491210938,-448.8521016438802,75.2724514262041,22
107.06079959869385,4.277545936332763,0.4061425526936849,0.04139955700126103,32,0.1,2,256,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 2, 'model__n_neurons': 256, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-493.5481872558594,-406.1740417480469,-542.4959716796875,-480.73940022786456,56.38537584585906,25
109.60336216290791,3.1202678433960873,0.39737749099731445,0.02887091694651781,32,0.1,2,256,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 2, 'model__n_neurons': 256, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-521.1029052734375,-386.0589904785156,-569.20166015625,-492.1211853027344,77.52532675849496,27
87.5435398419698,1.2829293604759497,0.5917871793111166,0.12346641094709812,32,0.1,4,64,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 4, 'model__n_neurons': 64, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-848.99951171875,-942.0193481445312,-1387.0665283203125,-1059.361796061198,234.81335304298355,37
96.00176501274109,10.800950107130271,0.9184285799662272,0.6519064654358185,32,0.1,4,64,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0.1, 'model__n_blocks': 4, 'model__n_neurons': 64, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-933.1597900390625,-1029.4996337890625,-1435.2640380859375,-1132.6411539713542,217.57113605411146,38
