mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_model__dropout_rate,param_model__n_blocks,param_model__n_neurons,param_model__reg_value,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
41.884931564331055,1.4320847776808232,0.1680150032043457,0.015799728974260064,32,0.0,1,128,0.0,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 128, 'model__reg_value': 0, 'optimizer__learning_rate': 0.001}",-533.9041748046875,-489.2931823730469,-560.2354125976562,-527.8109232584635,29.28077632297956,58
41.04108341534933,0.8313770860574552,0.17458613713582358,0.021037844066746112,32,0.0,1,128,0.0,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 128, 'model__reg_value': 0, 'optimizer__learning_rate': 0.0001}",-531.3448486328125,-488.2406311035156,-562.9344482421875,-527.5066426595052,30.614162828190995,57
41.33177995681763,0.29604517942548964,0.18984675407409668,0.02498018429223394,32,0.0,1,128,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-535.9705810546875,-492.5705261230469,-566.1806030273438,-531.5739034016927,30.21157544443722,63
42.35373306274414,1.372982176552595,0.29682572682698566,0.15656118391985493,32,0.0,1,128,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-536.26806640625,-495.5945739746094,-565.9041748046875,-532.5889383951823,28.821426976153212,68
50.597160498301186,6.856586528402164,0.3788932164510091,0.25550397887235615,32,0.0,1,256,0.0,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 256, 'model__reg_value': 0, 'optimizer__learning_rate': 0.001}",-530.57666015625,-478.1075439453125,-554.6508178710938,-521.1116739908854,31.957343111844192,49
124.95104050636292,2.4189655891496273,0.5486385822296143,0.036746956008146536,32,0.0,1,256,0.0,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 256, 'model__reg_value': 0, 'optimizer__learning_rate': 0.0001}",-531.38427734375,-478.4115295410156,-556.4784545898438,-522.0914204915365,32.541041655132844,50
122.58796834945679,1.7210216122551152,0.5346038341522217,0.02570898361841432,32,0.0,1,256,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 256, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-533.1572265625,-488.9963684082031,-561.5037231445312,-527.8857727050781,29.834770453763362,60
123.6778651078542,1.9291206556126066,0.7848443190256754,0.3828336495855888,32,0.0,1,256,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 1, 'model__n_neurons': 256, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-535.1649780273438,-488.9749755859375,-560.0010986328125,-528.0470174153646,29.42987780269933,61
133.8125580151876,2.7567996906819427,0.6007099151611328,0.17616822253844797,32,0.0,2,128,0.0,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 2, 'model__n_neurons': 128, 'model__reg_value': 0, 'optimizer__learning_rate': 0.001}",-436.2673034667969,-372.260009765625,-456.86187744140625,-421.79639689127606,36.02244075013694,19
316.7393497625987,260.4548637789181,0.43657437960306805,0.16477474418981994,32,0.0,2,128,0.0,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 2, 'model__n_neurons': 128, 'model__reg_value': 0, 'optimizer__learning_rate': 0.0001}",-450.2795715332031,-375.6877746582031,-454.1701965332031,-426.71251424153644,36.11488407737078,26
49.161293029785156,3.8015789295756344,0.19600550333658853,0.018285101063554132,32,0.0,2,128,0.01,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 2, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.001}",-457.59869384765625,-432.69293212890625,-472.1356201171875,-454.1424153645833,16.286820943115146,38
50.45174249013265,1.7767947731268685,0.19343145688374838,0.007672882380593842,32,0.0,2,128,0.01,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 2, 'model__n_neurons': 128, 'model__reg_value': 0.01, 'optimizer__learning_rate': 0.0001}",-447.05572509765625,-384.64862060546875,-494.8084716796875,-442.1709391276042,45.105018550440896,34
56.39640339215597,0.7076680617406969,0.21333909034729004,0.007790740985230816,32,0.0,2,256,0.0,0.001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 2, 'model__n_neurons': 256, 'model__reg_value': 0, 'optimizer__learning_rate': 0.001}",-427.6413269042969,-360.1933288574219,-437.6749572753906,-408.5032043457031,34.40495591118487,8
55.78044398625692,0.3908643561623762,0.20560272534688315,0.007790204012485081,32,0.0,2,256,0.0,0.0001,"{'batch_size': 32, 'model__dropout_rate': 0, 'model__n_blocks': 2, 'model__n_neurons': 256, 'model__reg_value': 0, 'optimizer__learning_rate': 0.0001}",-421.0655212402344,-352.8294677734375,-440.5692443847656,-404.8214111328125,37.61622375906416,4
