temperature,humidity,windspeed,wind_direction,visibility,precipitation,sun,windspeed_max,precip_indic,school_holiday_indicator,public_holiday_indicator,holiday_indicator,is_workday,season,day_of_week
-0.03977554737520306,-0.6450809990059602,-0.21811872272690008,0.07911314756107417,1.4614341640179305,-0.3971922706851893,-0.03132861136496235,0.665623338783403,0,0,0,0,1,0,2
0.24462455888664839,-0.6078147198871736,-0.32428413810462353,1.042128488420738,1.3929510296524577,-0.3971922706851893,-0.45816534957251803,0.154227627752526,0,0,0,0,1,0,3
0.3816936822654323,-0.41734262661337274,-1.0768095823996537,0.8317217752917418,0.9063603381082858,-0.3714505893050301,0.2544349676045029,-1.1242616498246665,1,0,0,0,1,0,4
1.3008630978643305,-1.5518937908964336,-0.405469455746409,-0.3497928445865015,0.6756803065614162,-0.3971922706851893,1.3576994180562358,-0.357168083278351,0,0,0,0,0,0,5
0.7459896946678634,-0.897663557477736,0.29709579307675665,0.5322968373773856,1.4073685316241358,0.5552499403807002,0.059102900967146904,1.6884147608451567,1,0,0,0,0,0,6
0.9695516338685587,-1.001180999474366,0.31583086637870567,-1.4422892396794007,1.1118097412047094,-0.3971922706851893,0.06995468244700001,0.665623338783403,0,0,0,0,1,0,0
0.6133185110766428,-0.9514926273159815,-0.23060877159486617,1.009758224862433,2.0741779978142985,-0.3971922706851893,1.1406637884591737,-0.1014702277629125,0,0,1,1,0,0,1
0.5414854945465782,-0.34695076605566827,1.1432966038815497,0.5322968373773856,1.0180959783887982,-0.1912588196439159,0.6740371848254899,1.1770190498142798,1,0,0,0,1,0,2
0.3670338829735854,-0.9639147203555795,-0.2993040403686856,0.8479069070708943,2.362528037247879,-0.3971922706851893,1.7266599883712417,-0.1014702277629125,0,0,0,0,1,0,3
0.6704917283148469,-1.5022054187380494,-0.7114756530116078,0.6051299303835789,1.951629231055025,-0.3971922706851893,1.5711177871600137,0.154227627752526,0,0,0,0,1,0,4
0.13027812441023978,1.1022934218971436,0.03792727906643375,0.7265184187272439,0.012475215864175732,1.3275003817854754,-1.0658651124442924,0.154227627752526,1,0,0,0,0,0,5
0.04671726844669511,0.7544748167884673,-0.18064857612299604,0.807444077623006,1.1125306163032929,3.335351529437891,-0.45816534957251803,0.154227627752526,1,0,0,0,0,0,6
0.01373272004003623,0.5391585374354779,-1.0955446557016086,0.32998269013797304,-0.19297418723225465,-0.08829209412327922,-0.3930546606933994,-0.8685637943092279,1,0,0,0,1,0,0
0.45645865865386354,-0.4960158825308142,-0.35238674805755027,0.6455927598314672,0.8450859547286459,-0.34570890792487097,0.7246788317314711,1.4327169053297184,1,0,0,0,1,0,1
0.7994979620831156,0.08368179265031056,0.9590683830790294,0.694148155168939,0.9387997175445638,-0.34570890792487097,-0.13984642616349346,0.9213211942988414,1,0,0,0,1,0,2
1.2275641014050829,-0.5995333245274441,-0.5959427009829125,0.3461678219171255,2.171496136123133,-0.3971922706851893,1.6687838204786918,-0.1014702277629125,0,0,0,0,1,0,3
1.5984570234888587,-1.0881356507515294,0.07227491345334346,0.8236292094021584,1.2631935119073452,-0.2170005010240751,1.2274780402979986,0.665623338783403,1,0,0,0,1,0,4
0.13834101402075483,-1.1668089066689709,0.3657910618505761,0.41090834903373524,0.7225371879693719,-0.3714505893050301,0.030164817020871943,0.154227627752526,1,0,0,0,0,0,5
-0.10427866425933738,-1.5643158839360243,0.21903298765195975,-1.7336216117041734,1.4073685316241358,-0.3971922706851893,1.223860779804714,-0.1014702277629125,0,0,0,0,0,0,6
0.08190078674713556,-1.8665868145661846,-0.9362965326350207,-1.029568379310976,1.3713247766949346,-0.3971922706851893,1.6470802575189856,-0.6128659387937895,0,0,0,0,1,0,0
-0.25893954678833514,-0.40077983589391375,1.1495416283155329,0.8155366435125895,0.030497093328776086,-0.1912588196439159,-0.02047682988510924,1.6884147608451567,1,0,0,0,1,0,1
-0.3769509310877179,-0.35937285909526623,0.3095858419447228,1.4710344805683286,0.4089565200853521,0.4007998520997451,-0.10729108172393413,0.154227627752526,1,0,0,0,1,0,2
-0.07862401549860877,-1.2206379765072164,-0.04638055079234608,-1.5474925962439017,1.2307541324710671,-0.3971922706851893,1.8062397192234978,0.40992548326796446,0,0,1,1,0,0,3
0.5466164242987265,-1.1916530927481594,-0.458552163435268,0.11148341111939351,1.2992372668365397,-0.3714505893050301,0.23634866513808106,-0.6128659387937895,1,0,0,0,1,0,4
0.7694453735348236,-0.10264960294362187,-0.533492456643076,-1.2885304877774382,0.0099521530191313,1.2245336562648386,0.7608514366643148,0.665623338783403,1,0,0,0,0,0,5
1.0619083694072033,-0.4587496034120277,-0.36799930914250495,-1.7659918752624812,0.3343459473819124,-0.3971922706851893,1.3034405106569704,-0.357168083278351,0,0,0,0,0,0,6
0.8727969585423634,-0.015694951666450928,0.25962564647285263,0.8802771706291992,-0.4560935982153959,0.09189967553783497,0.051868379980578166,1.1770190498142798,1,0,0,0,1,0,0
0.9556248245412967,-0.15647867278186736,-0.6115552620678729,1.4224790852308709,-0.1316998038526146,-0.3971922706851893,0.2761385305642091,-0.8685637943092279,0,0,0,0,1,0,1
0.84054540010029,0.9035399332636133,0.6530621858138255,0.6698704575002031,-1.7111371448500707,-0.26848386378439343,-0.20133985454932776,-0.357168083278351,1,0,0,0,1,0,2
1.3998167430843071,-0.868678673718679,-0.17128103947201878,-0.9729204180839353,-0.7689533910008389,-0.3971922706851893,1.213008998324861,0.154227627752526,0,0,0,0,1,0,3
