temperature,precipitation,public_holiday_indicator,is_workday,day_of_week,spring,summer,autumn,winter,windspeed,sun,school_holiday_indicator
155.2942629246603,0.0,-1361.8989947023206,-370.1819627343605,-852.7018638943882,-133.42436518337837,-218.33071375107264,-334.06739489185304,0.0,0.0,0.0,-524.6291954284216
0.0,-91.32262583391162,132.4922820239429,182.93402133710484,294.48936576580326,-200.57809095365192,-247.37945134927176,-358.10213005470615,-303.0186701109792,0.0,-162.3085348323344,-1040.208527442193
-402.900003013991,174.89532971316777,108.860313960449,252.6529062525735,449.7843283379121,-144.89869558162133,-213.42978898710692,-330.00187017382444,-357.592292311438,71.2310256405632,6.859460696421023,-980.5656150458019
-153.39739068294114,129.81861400754974,149.10568265545018,263.94501629863777,478.00542226760734,-218.2131896624699,-209.69665628624804,-347.794238388504,-218.5432591269689,-340.25647664140126,-278.7633267909514,-1009.1830180843323
25.52116583058952,129.16767391225716,111.39741861619063,201.99834374602918,486.1269221765663,-199.14145961992634,-268.7892844581145,-355.4870776510275,-150.4312996402471,-120.07549069666159,-240.67927598213063,-1030.3763551055972
-14.689507130070345,72.396177196961,-1904.870820530302,-426.25179450565213,118.70127351080886,-171.96849738270862,-222.87338267253074,-278.4893664780277,-26.712473963437688,-81.92891567236539,-125.93157850483772,-629.2369909430345
-46.27429768628425,184.20598315644864,112.10446703794724,-361.7947193601124,-251.53056256123688,-248.2593245783692,-387.2736259644404,-394.2585055995015,197.5060619993216,102.51732113494353,-77.66806323467763,-792.059322356736
-95.48712338172385,-398.39987511994406,56.13516859977349,-377.9472951840841,-1494.4501938928404,-293.92087975089385,-362.0689770038959,-341.17758440328095,330.00238668223767,84.51426061916584,-199.09909920064865,0.0
-301.888836129511,-420.15753134154323,122.2957366618487,264.39882128469895,400.27921879320223,-200.62081329218523,-187.79474474178554,-257.30345758372187,99.05001512928646,-276.93469914884815,-103.49782487739091,192.6583260613777
-321.7761387544426,220.85594573447335,142.82189930469866,269.3914004337172,564.9818527626489,-119.44236247503564,-165.59156591297744,-206.30597856169337,29.809639848894136,-40.37440837938328,-109.47729865794965,206.7762840662278
-58.41080650532877,-661.5900742717005,134.48980927182444,237.39180471206055,584.4100537977928,-148.06710696899054,-207.43971400027942,-276.6192617778398,114.52516360803503,-210.9639388924581,-368.10924375295923,181.66513301714645
-6.395298070620965,257.50486559533965,146.93869379931945,356.25178678355195,507.8346228863471,-173.7412472029898,-282.7222208508667,-255.9923964398379,172.51815207672246,-451.87114438579425,-245.08894754528842,200.51199260704556
-86.35083798603236,-551.2095529719398,121.14488099327347,206.16711345419262,175.25252810428486,-273.1784302872481,-304.3574969681618,-340.87389249591286,575.6688331653902,-414.149407067618,-179.54759522233303,210.8499528631578
-47.81665110874207,163.69476845443222,74.74245379412889,-538.3971712378586,-316.15835549627786,-295.09245850101934,-331.24197070993233,-353.64773666066577,543.0010635929319,-166.77803830476262,-239.83536799232843,148.4113800636469
-142.43463749710332,-203.07539300245227,0.0,-458.52181828172604,-1315.4503390936477,-286.6270502397337,-351.63998007904286,-408.1080666247049,339.234470102942,-358.4509585305986,-191.39511892558144,131.32279292848307
-379.91016209539475,-313.59657331784655,112.8576302751017,286.49106948025513,370.53510575037285,-162.4341202844058,-218.63646830503097,-285.8169893661767,140.12340826441402,-327.46909410390657,-208.08625382904157,165.21547670646225
-491.69657713427097,201.75184785627394,162.09737441737371,370.41887440478325,488.05459775298095,-141.218480778962,-240.59156526769257,-302.4882002610645,107.47372390085187,66.9191157242805,-28.55875624532939,205.65379941495314
-854.6590703177592,0.0,174.7573226619479,263.541164564787,565.7264241512328,-155.15370254780754,-216.09076123045753,-276.70102524045205,137.8380331582526,146.1120037013735,-178.5722190178981,145.52075772908358
-972.321147623167,194.13096689300707,141.45739624436487,185.28952579287687,466.81632068418776,-124.03949268739058,-161.33787650980187,-289.4768798386808,274.4506893089935,-31.066176762841224,-127.246190622065,147.84758374844438
-955.0249498762206,182.2802692556117,85.92310545745947,290.280035993233,193.315913103431,-231.68170246051363,-306.89586281934317,-312.0043914762113,592.9352358805506,33.199263356133635,-77.28966928300241,200.44281329367487
-945.3283006799645,210.40665355361838,139.58499733991187,-521.2504837058746,-321.78427010936934,-246.60503412479773,-271.514123431123,-418.34073145871116,536.8806531098078,-57.30100043093016,-165.80232448784963,55.442227975084734
-719.2911015487332,35.1517504671061,157.80553380174538,-579.2129615158647,-1379.6981547716678,-300.8520764680499,-365.7222537848934,-451.8891726228142,438.1822517254517,75.81811117178249,-152.4484553482972,157.69396236591228
-815.5583295770389,218.58984243186023,109.16430651115328,248.67669987059017,351.22131582892655,-132.5939250545306,-214.4822085978406,-294.72206727816945,127.67003223074903,-96.75553453718396,-187.66166755988309,153.96968209367026
-739.5138173801251,205.24654574411574,150.57395927110267,261.2468928816134,518.5072967765024,-134.21983492135612,-166.5558470221561,-282.33287677774723,140.97455759263758,-158.42103403906427,-232.29503607528721,176.82101218706725
-826.6237287332613,236.64623738951073,174.19970507945274,254.8265036305593,570.4023633263272,-136.9011282805127,-191.99030088106048,-259.32449817699296,121.55916264849873,2.0559496531212296,-250.16345907636318,135.69047064239868
-995.8329050488169,244.76856485790057,136.60998163566566,210.25374885919825,489.75667363274994,-189.97367487401937,-214.40523754800466,-276.71993110395783,287.19547459886866,102.88440492443699,-175.5260302587886,199.46142239019525
-878.8655782061028,174.50092551939895,130.19327492741166,237.70638010600345,263.8335812750089,-283.1160895524582,-242.41347129682086,-395.92243108685824,599.509232355787,87.5651355220377,-180.10341470085308,153.7402206403736
-680.55580149803,138.41319467780278,130.59306452587626,-483.52206400269165,-236.76268399807947,-296.55867168985424,-243.54200874802922,-394.6357820812816,549.4677335993999,-10.58330697379613,-220.7935250309692,141.76435500383104
-705.7567437130373,173.86182004409133,84.2301398385558,-572.572953278868,-1395.120505467489,-248.37303333560095,-345.64370599864054,-420.2549349065091,395.06987018456596,19.0284380078397,0.0,84.78327549520827
-937.0000764771047,209.2576050703854,137.24707466235483,226.5385879344743,299.4040804758424,-138.86603997850185,-179.75766577174602,-297.2743765101577,133.6725161416851,-276.16681381836514,-255.82626900581582,179.36838106112714
-690.459358210171,226.2334804856164,169.7841712854932,303.38338644873716,454.87709424749704,-143.4929093460194,-177.8909333557233,-249.69662774336678,91.85451220981689,-258.07785352551423,-196.27433398938498,204.759939730322
-400.16649950406304,43.95302283562356,135.5521123275281,292.8404586207457,573.8256755057361,-126.76401726787856,-202.17682235231734,-276.0346025009861,142.3624709652391,-288.020736104299,-221.3569341900659,184.94884224579044
-265.88705593764473,258.3846826218803,136.6109220714756,271.9128005125315,522.2664499894862,-157.43754336717154,-223.88159703350863,-245.42227838096267,234.7003879771662,-270.7589219696184,-239.79711426410822,172.61818562715243
-276.5928875328592,179.08148631747488,122.80159777984044,140.5860829763529,261.1101880252857,-295.03349564391374,-223.45123889723783,-367.7459716399936,658.7717804385612,-276.0806830259052,-190.25792699623605,275.2698883890585
-251.5329740624557,-202.04705895117073,123.5581259437276,-487.4097860770919,-337.68054938234155,-316.319164674484,-298.7486199482309,-364.71769541681533,564.8121154282398,129.7104475066404,-19.774760819671243,148.0511234565813
-403.2392894927193,-343.3378517885016,67.43267950479907,-433.45926240015837,-1430.7235043980554,-278.15111305500716,-307.68978668902304,-483.40944248108144,522.2575155385784,26.45374649235165,-209.5771294512711,126.73856212145392
-650.1787396630023,202.65997476482204,145.12435131750826,270.7246877027697,414.61726851010644,-126.50575884118834,-203.832186878406,-253.5772870923483,139.2536097139623,68.05942099586083,-113.07679679883486,134.94027645917822
-1019.6670164191281,210.99228833567852,111.54526247504836,258.7940577417342,528.2384760440923,-171.37808728791515,-167.69119674509935,-230.05057227560405,135.93916219152794,-68.54225263214967,192.26132620864965,137.7268452098434
-1068.6742784813093,200.6562818884597,145.96199066916842,276.6745642924566,553.5732762480812,-167.27497526951564,-181.71668838257506,-283.53252303596724,212.41360185236547,0.0,196.44556607602752,163.02721917698634
-1183.3393412718292,188.00240094897407,161.50151829762504,197.06086289191992,485.47584141221773,-150.88574734132214,-179.76538266559157,-310.82788857387203,302.85841082073756,104.06141831755804,170.05889836311857,144.27150086589197
-833.4833909719782,149.49808737235983,108.4984748977898,194.59448132492543,305.6752046857003,-160.48601136946507,-270.4552660336364,-327.0172155897251,530.4549580104396,77.85290694684318,115.38025966309813,216.7300226603266
-479.85198478023773,182.8828868103738,96.6581767910745,-491.7688755037368,-349.93998417785025,-187.28159052101776,-263.6281969300058,-355.7447727241905,560.9608671791568,0.0,0.0,97.58489170311145
-229.44683773236622,125.58852813528416,0.0,-554.1988523246803,-1437.6268348000503,-368.420300856864,-366.0606946675213,-477.8353173376657,401.61027165592725,19.34512166036885,72.13078358190182,159.41921752453163
-579.1374737677544,172.8222161670908,179.59949746044518,324.2474803016071,381.23919071422483,-139.02862124484062,-147.30208490974925,-265.8579944889242,128.83877990202572,148.32218982595603,120.44656445146352,157.82815781013335
-917.9177646149462,175.2484170739982,155.04724271447245,293.559964092124,557.8867277311518,-227.24212598620036,-199.4754187090404,-323.45829223890036,300.2596930919189,163.4497889241552,-44.777312254360304,115.64010739730509
-807.7607665769158,176.64130747800198,117.17843420538168,245.46155674287266,576.4640146065415,-143.88045644674958,-239.41010717532066,-290.85551176937975,195.68139339478486,125.87703902708803,-29.77814871819325,183.2345966723164
-289.4308710382685,236.99234080572066,170.50685558205606,283.5428135020767,545.7579520103683,-186.53139701057887,-228.76590757380905,-316.00251969771114,180.77533861760057,72.18738312526523,-102.20891815260099,144.86133595780905
55.337699183562464,174.1897473595709,187.06594152605695,285.66983125610307,57.20141012713028,-213.93255474378003,-268.3763185820111,-323.863777793575,639.445835780518,-186.82509539067416,-249.09276582853522,197.0221680773119
112.61093375301603,220.27133193634188,126.46473000491315,-544.6012894935344,-320.87335524908275,-332.6017019930242,-295.23007296224637,-334.31110483741656,471.99848429084017,-280.77724885865695,-210.77843246782962,156.0187238014828
-50.65207959093871,227.1604307661904,104.8163962143843,-545.4191785357383,-1637.7526888091709,-367.2857459552037,-390.677918821701,-433.9641178409778,439.1481632279751,-64.4388509845392,-255.35735034196586,85.06462219023888
-4.439816615521765,170.68288826959852,175.50632255845053,303.2087258047058,406.91903828322523,-152.2651746868782,-236.96156690725502,-193.5480533098137,0.0,-74.19783645848196,236.58366485617066,220.32853855247788
-28.451126104399226,150.49429348063117,185.46517973555981,306.17253161807486,476.4461895795914,-122.09173538636291,-186.4750866804252,-193.28928861502095,-110.65980346394515,49.37696527814385,234.7533050261476,202.79503244118268
-180.39654567215675,202.32246999358065,124.03638626976293,358.7532154093754,600.0032636812768,-139.80842035588648,-206.42640282459993,-255.45458113982122,0.0,89.82184947179348,0.0,114.65055410710306
0.0,136.49904140219502,141.666326056166,290.7304309203482,530.6038417184164,-215.13034415529205,-243.59047340816755,-261.31097186212736,48.397965376244166,86.04845053712339,-163.52674375730035,194.45703955032195
0.0,259.89503760015805,62.83305932940279,297.9236906413543,173.6777951167109,-209.0432201767617,-318.5755012627723,-262.4732484333152,506.8871589172642,-4.806836657452642,-170.43418471715188,171.59069483299152
-338.4726443199365,205.75192215228444,87.8474819248138,-531.1392969068456,-276.2193790728752,-283.3550114685501,-327.5457545688505,-412.7636094437252,570.7226443623475,28.604355078264113,-145.08235087894306,180.35167426994462
-727.1817807786083,138.41000994653461,0.0,-446.46189129001954,-1449.0765169254773,-271.4110753301785,-310.2028850261326,-417.6652600129583,443.38306200935165,-51.21914440568394,-98.64523901202529,0.0
-878.1569796239552,185.3640422791462,135.97645909916648,266.8843628799167,394.16081663576267,-194.42264084223905,-193.54993113941387,-200.42751452828878,136.67030026847917,-279.5066538492528,168.8664420003099,172.29225568267157
-904.7093849155082,240.15724444993728,155.92091497590152,284.85861207344436,532.1731058337112,-171.48873315506273,-247.83507891780476,-280.8929920292609,113.53587531338937,-169.59877642027465,41.50456383693381,205.02267812939664
-1183.9201334269612,189.04056554264142,133.02570767613972,284.4834856879218,583.5472542118436,391.9074863865671,-188.52037571975745,-310.63777111288636,-204.06797141962133,-59.47025350301606,182.80357325829624,103.66569010926071
-934.796579260386,156.59972631451308,129.2491540432318,314.3632295451258,526.3872072135279,545.4957470721724,-204.11321606449025,-348.58442073237046,-188.39388454935585,83.35969738515738,31.808471358798514,97.18476208325366
-945.6765553191201,65.39078984896709,133.1215567117652,334.25763453046847,305.1488098129051,947.5409195280407,-200.34035323380346,-346.3250282579678,-343.5725553147713,97.33675220927981,149.78971720715597,129.19484731125834
-1008.3928992960189,158.3911241837873,89.36222531623673,-523.5900326649357,-321.83740534854826,849.4607727381302,-241.0444193665856,-462.83361795526275,-269.919882823757,233.55751359939975,-105.42553475736364,127.66823242472083
-648.025095064589,160.2095478903729,76.76011819077043,-517.7450676463349,-1406.6386395242673,747.3105168292266,-257.3159977542318,-493.94864827574713,-415.2155379817015,59.14244071231497,-208.21395531542885,146.01438227066865
-912.4443211518318,235.50213760479963,158.69479979840037,258.70156749851196,337.0369162431262,411.06179360803816,-166.78588734418184,-334.42869145332,-145.20754769455093,-29.55968760310549,-229.81195126939429,90.83665484456105
-708.8472374434625,268.5916881415335,172.5646569537122,230.66564674623632,521.8437324509629,415.3329410794404,-130.51881160912265,-317.6529970064582,-138.30878461162146,-323.95483708196963,-189.91374668187254,96.23469425304964
-419.3572704486214,-703.6735902198592,121.24812197537538,236.35429406566496,569.653929888005,493.75604888413966,-208.56223636470446,-338.32629181988165,-145.61671987727607,-294.805809816678,-322.282312419628,105.65366415639187
78.53346179902312,-232.85445180390502,130.8497347305453,261.71874081435556,525.5628641820007,618.8955670942136,-209.0835501136354,-335.70016065535,-150.2391779778732,-400.4909553503134,-136.89278515906244,102.09947403667906
-280.1879888210758,-916.1762376535888,117.37571433549617,210.22460995068872,177.07507383852575,791.3776131289666,-289.27850431820985,-353.3739041359996,-235.07441564745548,-633.664321738114,-258.0120180409215,77.72813093274067
-886.589225917996,184.81434348808676,84.47525641668328,-540.9725716223688,-280.2603136153465,901.3574633289954,-294.9341924789793,-443.97611257004303,-302.0936500248175,103.73604318461328,99.8748147891967,52.79112536865364
-401.3058909260758,57.39812502618236,37.815484774317554,-514.4993001614191,-1442.766516693113,745.7165551943974,-344.759913585472,-485.79564165551875,-365.121311307261,29.641960735550075,-159.57427012668032,79.43951938427062
517.1811621492144,-884.1267299323071,146.86766096514,225.61657699900817,538.0794241450043,476.50920455903025,-192.94615449025207,-283.23114684792876,-110.2201639043792,-490.26257355979294,69.59797192789976,102.91800224229105
-164.386876905189,0.0,145.67914170534698,287.8816014098213,533.913056182407,464.3470626477633,-179.1151640656836,-311.9404936773575,-132.28939623830473,-538.2735884430859,-187.75887314542246,106.54199915763257
-1009.9728283492334,77.65788763145822,174.5992947105438,286.73092653041886,537.1089096887273,398.36710538800094,-189.40621098373632,-351.3901495435534,-162.5830094370285,-31.13996421685943,0.0,94.23148767793981
-470.9300880646606,163.64425995698576,154.01165454616782,337.78645112399744,566.4414114170577,580.5165328774149,-166.96561218800844,-329.8336009144768,-157.6369794171088,124.77320009777459,96.55792951941012,75.91495029837438
0.0,211.21356568415507,173.14028862021829,189.26388860068732,217.42742121077032,1128.6355120711673,-312.14222261662604,-453.75087500225806,-190.43053918748893,136.01838517102843,53.48796324833277,72.63986598419115
209.24978999015067,211.32839050125403,105.78050398441084,-559.8103409905133,-338.7188968816828,1038.868304609548,-243.13710548671403,-461.72056822387947,-230.9251338874035,96.3487393645139,201.5347170958759,78.30397480236772
57.94937970265431,209.2362461054742,0.0,-590.8100884371682,-1836.6055873201055,809.8296844529831,-246.25205641023305,-479.5333289698657,-298.6701985231387,61.74726470701535,0.0,0.0
16.757099482150235,200.20277816609317,171.35159488937276,333.2814037487816,478.0773196934672,474.57274164242676,-163.40432823197045,-314.4435508829126,-136.3440407256043,-56.22984905191254,-95.6842099729746,93.93465440226078
57.15607945633737,233.29809074469986,151.75514251777295,265.82253242042,639.9549239072796,525.9723224524025,-138.52522999516407,-325.37017487660023,-91.94775422017625,131.64983075470826,-53.37404289861805,89.74532258361592
380.57412877818706,192.49215215695676,126.7333888199738,357.53505362491387,710.1142317301942,561.1600887965959,-191.95438581404622,-258.77541669402984,-87.2019730044299,0.0,239.99733814296837,80.6543308406442
450.91511586113626,155.79647498536937,145.17435652051057,280.8592848907546,612.0805166512985,725.5042364042208,-246.6695566721566,-368.6294766852439,-115.6163858689087,-28.010522486382598,-224.18264426001073,88.20568256858996
245.29805583227332,-577.7660956729037,131.89807275066232,196.28324293061064,120.48313148360232,1037.902289397098,-330.62429836382285,-381.9107705741419,-199.89694917714027,-270.93211248518355,-220.07879351218443,63.99616281593302
